11.8764 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
16.3506 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

16.3513 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000256F1E45CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000256F1E45C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000256F1E45AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000256F21998B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
16.3515 	EXP 	window1: mouseVisible = True
16.3515 	EXP 	window1: backgroundImage = ''
16.3516 	EXP 	window1: backgroundFit = 'none'
16.3620 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
16.3622 	EXP 	window1: recordFrameIntervals = False
16.6776 	EXP 	window1: recordFrameIntervals = True
16.7422 	WARNING 	t of last frame was 30.82ms (=1/32)
16.7708 	WARNING 	t of last frame was 28.62ms (=1/34)
16.8000 	WARNING 	t of last frame was 29.18ms (=1/34)
16.8347 	WARNING 	t of last frame was 34.78ms (=1/28)
16.8941 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
20.0259 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

20.0261 	EXP 	window1: mouseVisible = False
24.7586 	EXP 	visual_memory: status = STARTED
24.7594 	EXP 	window1: mouseVisible = True
24.9361 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1)
24.9362 	EXP 	window1: mouseVisible = True
24.9364 	EXP 	window1: mouseVisible = True
