85.5679 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
89.7736 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

89.7780 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F81E106CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F81E106C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0., 0., 0.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F81E106AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F81E479820>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
89.7789 	EXP 	window1: mouseVisible = True
89.7789 	EXP 	window1: backgroundImage = ''
89.7790 	EXP 	window1: backgroundFit = 'none'
89.7852 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
89.7853 	EXP 	window1: recordFrameIntervals = False
90.0938 	EXP 	window1: recordFrameIntervals = True
90.1649 	WARNING 	t of last frame was 36.51ms (=1/27)
90.2006 	WARNING 	t of last frame was 35.65ms (=1/28)
90.2285 	WARNING 	t of last frame was 27.93ms (=1/35)
90.2604 	WARNING 	t of last frame was 31.96ms (=1/31)
90.2897 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
93.0980 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

93.0982 	EXP 	window1: mouseVisible = False
97.7538 	EXP 	visual_memory: status = STARTED
97.7544 	EXP 	window1: mouseVisible = True
